id,Session #,Clip Time mentioned (h:mm:ss),Cumulative Time Mentioned (h:mm:ss),Atlascine-location,Location,Scale
366,3,0:37:15,2:07:32,"Rue Sainte-Catherine, Montreal, Canada",Rue Sainte-Catherine; Montreal; Canada,very local
367,3,0:37:18,2:07:35,"Chemin de la Côte-des-Neiges, Montreal, Canada",Chemin de la Côte-des-Neiges; Montreal; Canada,very local
368,3,0:37:20,2:07:37,"Chemin de la Côte-des-Neiges, Montreal, Canada",Chemin de la Côte-des-Neiges; Montreal; Canada,very local
369,3,0:37:24,2:07:41,"Université de Montréal, Montreal, Canada",Université de Montréal; Montreal; Canada,very local
370,3,0:37:31,2:07:48,"Chemin Queen Mary, Montreal, Canada",Chemin Queen Mary; Montreal; Canada,very local
371,3,0:37:32,2:07:49,"Rue Jean-Brillant, Montreal, Canada",Rue Jean-Brillant; Montreal; Canada,very local
372,3,0:37:40,2:07:57,"Brûlerie St-Denis, Côte-des-Neiges, Montreal, Canada",Brûlerie St-Denis; Côte-des-Neiges; Montreal; Canada,very local
373,3,0:37:41,2:07:58,"Renaud Bray, Côte-des-Neiges, Montreal, Canada",Renaud Bray; Côte-des-Neiges; Montreal; Canada,very local
374,3,0:37:44,2:08:01,"Librairie Olivieri, Montreal, Canada",Librairie Olivieri; Montreal; Canada,very local
375,3,0:37:58,2:08:15,"Brûlerie St-Denis, Côte-des-Neiges, Montreal, Canada",Brûlerie St-Denis; Côte-des-Neiges; Montreal; Canada,very local
376,3,0:38:18,2:08:35,"Chemin de la Côte-des-Neiges, Montreal, Canada",Chemin de la Côte-des-Neiges; Montreal; Canada,very local
377,3,0:38:32,2:08:49,"Librairie Olivieri, Montreal, Canada",Librairie Olivieri; Montreal; Canada,very local
378,3,0:39:43,2:10:00,Latin America,Latin America,continent
379,3,0:40:27,2:10:44,"University of Chile, Santiago, Chile",University of Chile; Santiago; Chile,very local
380,3,0:41:02,2:11:19,Morocco,Marocco,country
381,3,0:41:36,2:11:53,"Quebec, Canada",Quebec; Canada,region
382,3,0:41:59,2:12:16,Chile,Chile,country
383,3,0:43:13,2:13:30,Chile,Chile,country
384,3,0:43:22,2:13:39,"Sorbonne, Paris, France",Sorbonne; Paris; France,very local
385,3,0:43:24,2:13:41,France,France,country
386,3,0:43:59,2:14:16,Caribbean,Caribbean,continent
387,3,0:45:23,2:15:40,"Quebec, Canada",Quebec; Canada,region
388,3,0:47:34,2:17:51,Latin America,Latin America,continent
389,3,0:47:56,2:18:13,Argentina,Argentina,country
390,3,0:48:41,2:18:58,"Montreal, Canada",Montreal; Canada,city / area
391,3,0:48:47,2:19:04,"Conseil des Arts de Montréal, Montreal, Canada",Arts Council; Montreal; Canada,very local
392,3,0:48:52,2:19:09,"Vues D'Afrique, Montreal, Canada",Vues D'Afrique; Montreal; Canada,very local
393,3,0:49:02,2:19:19,Haiti,Haiti,country
394,3,0:49:11,2:19:28,"Montreal, Canada",Montreal; Canada,city / area
395,3,0:49:29,2:19:46,"Montreal, Canada",Montreal; Canada,city / area
396,3,0:49:50,2:20:07,"Conseil Interculturel de Montréal, Montreal, Canada",Conseil Interculturel de Montréal; Montreal; Canada,very local
397,3,0:49:52,2:20:09,"Office de consultation publique de Montréal, Montreal, Canada",Office de consultation publique de Montréal; Montreal; Canada,very local
398,3,0:50:00,2:20:17,"Toronto, Canada",Toronto; Canada,city / area
399,3,0:50:02,2:20:19,"Vancouver, Canada",Vancouver; Canada,city / area
400,3,0:50:03,2:20:20,"Winnipeg, Canada",Winnipeg; Canada,city / area
401,3,0:50:10,2:20:27,Canada,Canada,country
402,3,0:50:32,2:20:49,Haiti,Haiti,country
403,3,0:51:22,2:21:39,Haiti,Haiti,country
404,3,0:51:26,2:21:43,Haiti,Haiti,country
405,3,0:51:37,2:21:54,"Montreal, Canada",Montreal; Canada,city / area
406,3,0:51:39,2:21:56,"Havana, Cuba",Havana; Cuba,city / area
407,3,0:51:41,2:21:58,"Barcelona, Spain",Barcelona; Spain,city / area
408,3,0:51:43,2:22:00,"Paris, France",Paris; France,city / area
409,3,0:51:45,2:22:02,"Espace Marcel Carne, Paris, France",Espace Marcel Carne; Paris; France,very local
410,3,0:51:46,2:22:03,"Musée d'Ethnographie de Genève, Geneva, Switzerland",Musée d'Ethnographie de Genève; Geneva; Switzerland,very local
411,3,0:52:04,2:22:21,Haiti,Haiti,country
412,3,0:52:06,2:22:23,"Croix-des-Bouquets, Haiti",Croix-des-Bouquets; Haiti,city / area
413,3,0:52:07,2:22:24,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
414,3,0:52:17,2:22:34,"Concordia University, Montreal, Canada",Concordia University; Montreal; Canada,very local
415,3,0:52:19,2:22:36,Haiti,Haiti,country
416,3,0:52:22,2:22:39,"Bibliothèque et archives nationales du Québec, Montreal, Canada",Bibliothèque et archives nationales du Québec; Montreal; Canada,very local
417,3,0:54:35,2:24:52,Venezuela,Venezuela,country
418,3,0:54:38,2:24:55,Puerto Rico,Puerto Rico,country
419,3,0:54:39,2:24:56,Cuba,Cuba,country
420,3,0:54:40,2:24:57,Dominican Republic,Dominican Republic,country
421,3,0:54:41,2:24:58,Haiti,Haiti,country
422,3,0:54:42,2:24:59,France,France,country
423,3,0:54:43,2:25:00,"Toronto, Canada",Toronto; Canada,city / area
424,3,0:54:47,2:25:04,"Toronto, Canada",Toronto; Canada,city / area
425,3,0:55:18,2:25:35,Canada,Canada,country
426,3,0:55:25,2:25:42,Canada,Canada,country
427,3,0:56:11,2:26:28,"Saint-Hubert, Canada",Saint-Hubert; Canada,city / area
428,3,0:56:15,2:26:32,"McGill, Montreal, Canada",McGill; Montreal; Canada,very local
429,3,0:56:22,2:26:39,"Bas-Saint-Laurent, Canada",Bas-Saint-Laurent; Canada,region
430,3,0:56:24,2:26:41,"Saint-Mathieu-de-Rioux, Canada",Saint-Mathieu-de-Rioux; Canada,city / area
431,3,0:56:25,2:26:42,"Rimouski, Canada",Rimouski; Canada,city / area
432,3,0:56:48,2:27:05,"New York City, USA",New York City; USA,city / area
433,3,0:56:49,2:27:06,"Baruch College, New York City, USA",Baruch college; 55 Lexington Ave; New York City; USA,very local
434,3,0:56:51,2:27:08,"New York City, USA",New York City; USA,city / area
435,3,0:56:54,2:27:11,USA,USA,country
436,3,0:57:01,2:27:18,"Temple University, Philadelphia, USA",Temple University; Philadelphia; USA,very local
437,3,0:57:02,2:27:19,"Philadelphia, USA",Philadelphia; USA,city / area
438,3,0:57:23,2:27:40,Haiti,Haiti,country
439,3,0:57:27,2:27:44,Haiti,Haiti,country
440,3,0:57:30,2:27:47,Haiti,Haiti,country
441,3,0:57:32,2:27:49,Haiti,Haiti,country
442,3,0:57:34,2:27:51,Haiti,Haiti,country
443,3,0:57:48,2:28:05,USA,USA,country
444,3,0:57:51,2:28:08,"Quebec, Canada",Quebec; Canada,region
445,3,0:57:57,2:28:14,"Quebec, Canada",Quebec; Canada,region
446,3,0:58:00,2:28:17,"Montreal, Canada",Montreal; Canada,city / area
447,3,0:58:33,2:28:50,"Longueuil, Canada",Longueuil; Canada,city / area
448,3,0:58:36,2:28:53,"New York City, USA",New York City; USA,city / area
449,3,0:58:56,2:29:13,Haiti,Haiti,country
450,3,0:59:28,2:29:45,"Montreal, Canada",Montreal; Canada,city / area
451,3,0:59:38,2:29:55,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
452,3,1:00:00,2:30:17,"Rimouski, Canada",Rimouski; Canada,city / area
453,3,1:00:04,2:30:21,"New York City, USA",New York City; USA,city / area
454,3,1:00:08,2:30:25,"Montreal, Canada",Montreal; Canada,city / area
455,3,1:00:12,2:30:29,"Montreal, Canada",Montreal; Canada,city / area
456,3,1:00:14,2:30:31,Haiti,Haiti,country
457,3,1:00:16,2:30:33,France,France,country
458,3,1:02:18,2:32:35,Haiti,Haiti,country
459,3,1:02:21,2:32:38,Haiti,Haiti,country
460,3,1:02:50,2:33:07,"Côte-des-Neiges, Montreal, Canada",Côte-des-Neiges; Montreal; Canada,local
461,3,1:02:52,2:33:09,"Côte-des-Neiges, Montreal, Canada",Côte-des-Neiges; Montreal; Canada,local
462,3,1:02:53,2:33:10,"Côte-des-Neiges, Montreal, Canada",Côte-des-Neiges; Montreal; Canada,local
463,3,1:02:56,2:33:13,"Notre-Dame-des-Neiges Cemetery, Montreal, Canada",Notre-Dame-des-Neiges Cemetery; Montreal; Canada,very local
464,3,1:03:24,2:33:41,Haiti,Haiti,country
465,3,1:03:45,2:34:02,"Côte-des-Neiges, Montreal, Canada",Côte-des-Neiges; Montreal; Canada,local
466,3,1:03:47,2:34:04,"Brossard, Canada",Brossard; Canada,city / area
467,3,1:03:49,2:34:06,"Longueuil, Canada",Longueuil; Canada,city / area
468,3,1:03:50,2:34:07,"Laval, Canada",Laval; Canada,city / area
469,3,1:04:11,2:34:28,"Longueuil, Canada",Longueuil; Canada,city / area
470,3,1:04:12,2:34:29,"Laval, Canada",Laval; Canada,city / area
471,3,1:04:26,2:34:43,"New York City, USA",New York City; USA,city / area
472,3,1:04:27,2:34:44,"New York City, USA",New York City; USA,city / area
473,3,1:04:36,2:34:53,"Champlain Bridge, Canada",Champlain Bridge; Canada,very local
474,3,1:04:39,2:34:56,"Montreal, Canada",Montreal; Canada,city / area
475,3,1:05:25,2:35:42,Haiti,Haiti,country
476,3,1:05:32,2:35:49,Caribbean,Caribbean,continent
477,3,1:05:33,2:35:50,Haiti,Haiti,country
478,3,1:05:38,2:35:55,Haiti,Haiti,country
479,3,1:06:15,2:36:32,Cuba,Cuba,country
480,3,1:06:16,2:36:33,"Oriente, Cuba",Oriente; Cuba,city / area
481,3,1:06:24,2:36:41,Dominican Republic,Dominican Republic,country
482,3,1:06:32,2:36:49,Guadeloupe,Guadeloupe,country
483,3,1:06:36,2:36:53,Dominica,Dominica,country
484,3,1:06:39,2:36:56,Bahamas,Bahamas,country
485,3,1:06:41,2:36:58,Turks and Caicos Islands,Turks and Caicos,country
486,3,1:06:45,2:37:02,French Guinea,French Guinea,country
487,3,1:06:51,2:37:08,"Île-de-France, France",Île-de-France; France,city / area
488,3,1:06:54,2:37:11,Belgium,Belgium,country
489,3,1:06:55,2:37:12,Luxembourg,Luxembourg,country
490,3,1:06:56,2:37:13,Switzerland,Switzerland,country
491,3,1:06:59,2:37:16,"Miami, USA",Miami; USA,city / area
492,3,1:07:04,2:37:21,"Miami, USA",Miami; USA,city / area
493,3,1:07:04,2:37:21,"Miami, USA",Toronto; Canada,city / area
494,3,1:07:11,2:37:28,Haiti,Haiti,country
495,3,1:07:15,2:37:32,Haiti,Haiti,country
496,3,1:07:17,2:37:34,Haiti,Haiti,country
497,3,1:07:19,2:37:36,Haiti,Haiti,country
498,3,1:07:20,2:37:37,Haiti,Haiti,country
499,3,1:07:33,2:37:50,Haiti,Haiti,country
500,3,1:08:03,2:38:20,England,England,country
501,3,1:08:07,2:38:24,USA,USA,country
502,3,1:08:50,2:39:07," Savannah, USA", Savannah; USA,city / area
503,3,1:09:20,2:39:37,France,France,country
504,3,1:09:20,2:39:37,"Versailles, France",Versailles; France,city / area
505,3,1:09:54,2:40:11,Haiti,Haiti,country
506,3,1:10:20,2:40:37,Haiti,Haiti,country
507,3,1:10:22,2:40:39,"Montreal, Canada",Montreal; Canada,city / area
508,3,1:10:28,2:40:45,Haiti,Haiti,country
509,3,1:10:29,2:40:46,Haiti,Haiti,country
510,3,1:10:32,2:40:49,Haiti,Haiti,country
511,3,1:10:35,2:40:52,Haiti,Haiti,country
512,3,1:10:37,2:40:54,Haiti,Haiti,country
513,3,1:10:43,2:41:00,Haiti,Haiti,country
514,3,1:10:52,2:41:09,Democratic Republic of the Congo,Democratic Republic of the Congo,country
515,3,1:11:00,2:41:17,Democratic Republic of the Congo,Democratic Republic of the Congo,country
516,3,1:11:12,2:41:29,Democratic Republic of the Congo,Democratic Republic of the Congo,country
517,3,1:11:20,2:41:37,"Quebec, Canada",Quebec; Canada,region
518,3,1:11:28,2:41:45,"Quebec, Canada",Quebec; Canada,region
519,3,1:11:42,2:41:59,"Quebec, Canada",Quebec; Canada,region
520,3,1:11:50,2:42:07,Haiti,Haiti,country
